dataset,graph_id,method,changed,node_count,edge_count,edge_count_delta,edge_jaccard,node_type_change_rate,edge_type_change_rate,schema_valid,duplicate_edge_fraction,self_loop_fraction
TraceLog,108438,edge_perturbation,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,108438,edge_addition,1,4,3,1,1.0,0.0,0.0,1,0.25,0.0
TraceLog,108438,node_type_swap,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,108438,edge_type_swap,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,81150,edge_perturbation,1,378,431,0,0.7736625514403292,0.0,0.0,1,0.0,0.0
TraceLog,81150,edge_addition,1,378,431,56,0.890495867768595,0.0,0.0,1,0.006160164271047264,0.0
TraceLog,81150,node_type_swap,0,378,431,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,81150,edge_type_swap,0,378,431,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,119780,edge_perturbation,1,18,18,0,0.8947368421052632,0.0,0.0,1,0.0,0.0
TraceLog,119780,edge_addition,1,18,18,2,0.9,0.0,0.0,1,0.0,0.0
TraceLog,119780,node_type_swap,0,18,18,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,119780,edge_type_swap,0,18,18,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,114600,edge_perturbation,1,311,311,0,0.7720797720797721,0.0,0.0,1,0.0,0.0
TraceLog,114600,edge_addition,1,311,311,40,0.886039886039886,0.0,0.0,1,0.0,0.0028490028344094753
TraceLog,114600,node_type_swap,0,311,311,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,114600,edge_type_swap,0,311,311,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124597,edge_perturbation,1,13,13,0,0.8571428571428571,0.0,0.0,1,0.0,0.0
TraceLog,124597,edge_addition,1,13,13,2,0.9285714285714286,0.0,0.0,1,0.06666666666666665,0.0
TraceLog,124597,node_type_swap,0,13,13,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,124597,edge_type_swap,0,13,13,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,115420,edge_perturbation,1,550,618,0,0.7733142037302726,0.0,0.0,1,0.0,0.0
TraceLog,115420,edge_addition,1,550,618,80,0.8866571018651362,0.0,0.0,1,0.0014326647564469885,0.0
TraceLog,115420,node_type_swap,0,550,618,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,115420,edge_type_swap,0,550,618,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,59178,edge_perturbation,1,173,194,0,0.771689497716895,0.0,0.0,1,0.0,0.0
TraceLog,59178,edge_addition,1,173,194,25,0.8858447488584474,0.0,0.0,1,0.0,0.0
TraceLog,59178,node_type_swap,0,173,194,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,59178,edge_type_swap,0,173,194,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,51436,edge_perturbation,1,590,665,0,0.7733333333333333,0.0,0.0,1,0.0,0.0
TraceLog,51436,edge_addition,1,590,665,86,0.8854860186418109,0.0,0.0,1,0.0,0.0
TraceLog,51436,node_type_swap,0,590,665,0,1.0,0.0,0.0,1,0.0,0.0
